epoch,	temperature
1551398400,	21.5
1551402000,	21.4
1551405600,	21.3
1551409200,	21.34
1551412800,	21.2
1551416400,	21.21
1551420000,	22.4
1551423600,	22.25
1551427200,	22.15
1551430800,	21.92
1551434400,	21.84
1551438000, 22.09
1551441600,	23.05
1551445200,	22.63
1551448800,	22.43
1551452400,	22.12
1551456000,	22.08
1551459600,	22
1551463200,	22.01
1551466800,	22.02
1551470400,	22.02
1551474000,	22.03
1551477600,	21.99
1551481200,	21.73
1551484800,	21.56
1551488400,	21.36
1551492000,	21.22
1551495600,	21.04
1551499200,	20.86
1551502800,	20.91
1551506400,	21.66
1551510000,	21.89
1551513600, 22.07
1551517200,	21.99
1551520800,	21.88
1551524400, 21.95
1551528000,	22.74
1551531600, 22.75
1551535200,	23.42
1551538800,	23.64
1551542400,	23.29
1551546000,	22.69
1551549600,	22.5
1551553200,	22.39
1551556800,	22.36
1551560400,	22.29